"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.914607198E1,-2.413159943E1,3.780780029E1,-1.350539970E1
1.919607198E1,-2.408279991E1,3.977199936E1,-9.711199760E0
1.924607198E1,-2.330200005E1,4.187039948E1,-7.478600025E0
1.929607198E1,-2.164279938E1,4.290739822E1,-7.393199921E0
1.934607198E1,-2.126459885E1,4.172399902E1,-9.174399376E0
1.939607198E1,-2.163059998E1,3.844219971E1,-1.439599991E1
1.944607198E1,-2.169159889E1,3.518479919E1,-2.032519913E1
1.949607198E1,-2.175259972E1,3.247639847E1,-2.633979988E1
1.954607198E1,-2.165499878E1,3.120759964E1,-3.078059959E1
1.959607198E1,-2.161839867E1,2.958499908E1,-3.428199768E1
1.964607198E1,-2.181359863E1,2.744999886E1,-3.696599960E1
1.969607198E1,-2.304579926E1,2.590060043E1,-3.797859955E1
1.974607198E1,-2.371679878E1,2.659599876E1,-3.685620117E1
1.979607198E1,-2.305799866E1,2.943859863E1,-3.387939835E1
1.984607198E1,-2.282620049E1,3.275699997E1,-2.890180016E1
1.989607198E1,-2.297259903E1,3.535559845E1,-2.338739967E1
1.994607198E1,-2.213080025E1,3.633160019E1,-1.739719963E1
1.999607198E1,-2.213080025E1,3.800299835E1,-1.350539970E1
2.004607198E1,-2.214299965E1,4.030879974E1,-9.881999969E0
2.009607198E1,-2.113039970E1,4.227299881E1,-8.125200272E0
